             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.371            0.111                5           0.0272                0                0                0
               1           0.289            0.025             3.74             0.02                0                0                0
               2           0.242         4.15e-08             2.63          0.00839                0                0                0
               3            0.25           0.0756             2.97          0.00819                0                0                0
               4           0.338           0.0874             2.75           0.0767                0                0                0
               5           0.137         0.000695             2.77           0.0183                0                0                0
               6           0.101            0.234             5.25           0.0805                0                0                0
               7           0.111           0.0431             3.25           0.0453                0                0                0
               8          0.0727         7.61e-09             2.99           0.0236                0                0                0
               9          0.0978           0.0224             2.79           0.0294                0                0                0
              10           0.122           0.0832             5.48           0.0358                0                0                0
              11            0.12            0.147             5.66          0.00742                0                0                0
              12           0.037            0.566             6.85           0.0354                0                0                0
              13         0.00422                1             8.89         0.000159                0                0                0
              14         0.00334                1             8.89         -0.00032                0                0                0
              15         0.00498                1             8.89         -0.00168                0                0                0
              16         0.00394                1             8.89         -0.00158                0                0                0
              17         0.00158                1             8.89        -0.000333                0                0                0
              18         0.00294                1             8.89         -0.00135                0                0                0
              19        0.000644                1             8.89        -6.34e-05                0                0                0
              20          0.0954            0.937             8.72           -0.023                0                0                0
              21         0.00465                1             8.89         -0.00251                0                0                0
              22          0.0011                1             8.89        -0.000321                0                0                0
              23        0.000539                1             8.89        -0.000112                0                0                0
              24          0.0014                1             8.89        -0.000739                0                0                0
              25          0.0124                1             8.89         -0.00547                0                0                0
              26        0.000218                1             8.89         1.25e-05                0                0                0
              27        0.000789                1             8.89        -0.000381                0                0                0
              28        0.000303                1             8.89        -0.000127                0                0                0
              29        0.000686                1             8.89         1.09e-05                0                0                0
              30        0.000469                1             8.89        -0.000228                0                0                0
              31        0.000192                1             8.89        -5.55e-05                0                0                0
              32        8.09e-05                1             8.89         4.16e-05                0                0                0
              33        0.000152                1             8.89        -5.67e-05                0                0                0
              34        0.000138                1             8.89         7.84e-05                0                0                0
              35        0.000143                1             8.89        -2.67e-06                0                0                0
              36        4.57e-05                1             8.89         3.48e-05                0                0                0
              37        9.85e-05                1             8.89        -3.56e-05                0                0                0
              38        5.31e-05                1             8.89        -3.65e-06                0                0                0
              39        6.78e-05                1             8.89        -1.61e-05                0                0                0
              40        3.42e-05                1             8.89         8.63e-06                0                0                0
              41        4.68e-05                1             8.89        -1.03e-05                0                0                0
              42         3.9e-05                1             8.89        -1.16e-06                0                0                0
              43        2.32e-05                1             8.89          1.2e-05                0                0                0
              44       -9.48e-06                1             8.89         3.02e-05                0                0                0
              45        9.06e-05                1             8.89        -3.96e-05                0                0                0
              46       -4.05e-05                1             8.89         4.55e-05                0                0                0
              47        8.09e-05                1             8.89         -2.4e-05                0                0                0
              48           5e-05                1             8.89        -1.94e-05                0                0                0
              49        3.97e-05                1             8.89        -1.16e-05                0                0                0
              50        0.000197                1             8.89         4.15e-05                0                0                0
              51        4.99e-05                1             8.89        -2.49e-05                0                0                0
              52        4.15e-05                1             8.89        -1.54e-05                0                0                0
              53        3.14e-05                1             8.89        -1.29e-05                0                0                0
              54        2.45e-05                1             8.89        -5.91e-06                0                0                0
              55        3.28e-05                1             8.89        -1.47e-05                0                0                0
              56       -9.09e-05                1             8.89         0.000209                0                0                0
              57        4.31e-05                1             8.89        -2.16e-05                0                0                0
              58        2.78e-05                1             8.89        -1.15e-05                0                0                0
              59         2.6e-05                1             8.89        -1.16e-05                0                0                0
              60        0.000137                1             8.89         1.48e-06                0                0                0
              61         3.6e-05                1             8.89        -2.25e-05                0                0                0
              62       -2.29e-05                1             8.89         3.56e-05                0                0                0
              63        2.76e-05                1             8.89         -1.2e-05                0                0                0
              64        1.97e-05                1             8.89        -6.79e-06                0                0                0
              65        0.000103                1             8.89        -9.64e-06                0                0                0
              66       -4.56e-06                1             8.89         4.35e-05                0                0                0
              67         1.3e-05                1             8.89        -2.02e-06                0                0                0
              68        4.83e-05                1             8.89         -6.5e-06                0                0                0
              69        1.73e-05                1             8.89         5.72e-07                0                0                0
              70        8.61e-06                1             8.89        -2.29e-06                0                0                0
              71       -6.03e-06                1             8.89         6.92e-05                0                0                0
              72        1.86e-05                1             8.89        -3.49e-06                0                0                0
              73        1.95e-05                1             8.89        -9.13e-06                0                0                0
              74        5.42e-05                1             8.89         3.38e-05                0                0                0
              75        1.98e-05                1             8.89         -1.1e-05                0                0                0
              76        1.43e-05                1             8.89        -5.24e-06                0                0                0
              77         1.6e-05                1             8.89        -7.38e-06                0                0                0
              78        2.21e-05                1             8.89        -9.15e-06                0                0                0
              79        4.67e-06                1             8.89         1.65e-06                0                0                0
              80        1.19e-05                1             8.89        -4.22e-06                0                0                0
              81        1.55e-05                1             8.89        -5.97e-06                0                0                0
              82        5.48e-06                1             8.89         4.17e-07                0                0                0
              83        1.76e-05                1             8.89        -4.74e-06                0                0                0
              84       -3.82e-05                1             8.89         4.31e-05                0                0                0
              85        1.41e-05                1             8.89         -7.6e-06                0                0                0
              86        1.48e-05                1             8.89        -5.34e-06                0                0                0
              87        6.56e-06                1             8.89        -2.44e-06                0                0                0
              88        1.04e-05                1             8.89        -3.64e-06                0                0                0
              89         1.1e-05                1             8.89        -5.02e-06                0                0                0
              90        8.04e-06                1             8.89         -2.7e-06                0                0                0
              91        3.92e-06                1             8.89        -3.26e-07                0                0                0
              92        1.41e-05                1             8.89        -8.66e-06                0                0                0
              93        3.94e-07                1             8.89         7.88e-06                0                0                0
              94       -2.36e-06                1             8.89         5.08e-06                0                0                0
              95        9.34e-06                1             8.89        -2.96e-06                0                0                0
              96        5.99e-05                1             8.89        -2.09e-06                0                0                0
              97        8.24e-06                1             8.89        -3.15e-06                0                0                0
              98        6.58e-06                1             8.89        -3.31e-06                0                0                0
              99        8.28e-06                1             8.89        -4.31e-06                0                0                0
