             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.166           0.0457             3.93           0.0129                0                0                0
               1           0.341            0.106             4.93          0.00271                0                0                0
               2           0.281            0.112                5           0.0142                0                0                0
               3           0.175            0.217             6.85         -0.00782                0                0                0
               4            0.26           0.0257             3.59         -0.00518                0                0                0
               5           0.191            3e-13             2.61         0.000828                0                0                0
               6           0.251         1.43e-08             2.12          -0.0233                0                0                0
               7           0.246         7.42e-05             2.47          -0.0268                0                0                0
               8           0.201         8.78e-05             2.17           -0.018                0                0                0
               9           0.226         1.29e-06             1.99          -0.0237                0                0                0
              10           0.203         2.09e-05             2.23          -0.0141                0                0                0
              11           0.188         6.86e-05             2.76          0.00122                0                0                0
              12           0.228         6.75e-05             2.56          -0.0222                0                0                0
              13           0.184         7.82e-06             2.16        -0.000291                0                0                0
              14            0.16         2.84e-06             1.81         -0.00206                0                0                0
              15           0.136          4.5e-06             1.67          0.00389                0                0                0
              16          0.0863         4.05e-07             1.38         -0.00465                0                0                0
              17           0.128         6.19e-10             1.15          0.00342                0                0                0
              18          0.0694         3.78e-10             1.15          0.00953                0                0                0
              19           0.105         3.27e-11             1.27          0.00109                0                0                0
              20           0.099            8e-12             1.37          0.00846                0                0                0
              21          0.0939          2.4e-12             1.31          0.00881                0                0                0
              22          0.0821         1.81e-12             1.38         -0.00596                0                0                0
              23          0.0548         9.22e-13             1.25         0.000954                0                0                0
              24          0.0761         1.87e-14             1.83        -0.000477                0                0                0
              25          0.0572         3.21e-14             1.11          0.00184                0                0                0
              26          0.0527         1.94e-14             1.01         0.000353                0                0                0
              27          0.0627         2.75e-14             1.12        -5.51e-05                0                0                0
              28          0.0446         7.19e-13            0.784          0.00382                0                0                0
              29          0.0469          2.6e-13            0.656          0.00459                0                0                0
              30          0.0434         3.66e-13             0.68          0.00655                0                0                0
              31          0.0346         8.95e-13            0.852          0.00301                0                0                0
