             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.247         1.54e-23             3.78          0.00258                0                0                0
               1           0.146         7.82e-15             3.26          0.00162                0                0                0
               2           0.153            0.644              7.1           0.0732                0                0                0
               3           0.272            0.748             7.61          -0.0993                0                0                0
               4            0.43          0.00136             4.24          -0.0492                0                0                0
               5           0.323         2.64e-16             2.28         -0.00436                0                0                0
               6           0.305         7.05e-16             2.02        -0.000315                0                0                0
               7            0.27          1.4e-16             1.85         -0.00774                0                0                0
               8           0.216         3.74e-12             2.15            0.011                0                0                0
               9           0.178         3.99e-15             3.02         0.000617                0                0                0
              10           0.252         1.43e-10             2.09         7.84e-05                0                0                0
              11           0.193         5.54e-12             2.05          -0.0116                0                0                0
              12           0.233         4.13e-08             2.97          -0.0276                0                0                0
              13           0.209         7.49e-13             1.88          -0.0113                0                0                0
              14            0.27         2.31e-06             3.22          -0.0158                0                0                0
